Date,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth ,Money,Other
2017-11-09,0.29,-0.18,0.0,0.65,-0.96,-0.99,0.27,-0.1,0.76,0.63,-0.26,0.15
2017-11-10,1.09,0.41,0.25,-0.41,-0.1,0.34,-0.29,-0.62,0.54,0.37,0.01,0.15
2017-11-13,0.27,0.53,-0.36,-0.82,0.54,-0.07,-0.84,0.47,-0.28,-0.44,0.45,-0.5
2017-11-14,0.53,-0.27,-0.56,-3.35,-0.72,-0.07,-0.78,1.16,0.16,-1.23,0.29,-0.58
2017-11-15,-0.4,-0.83,-0.61,-1.31,-1.32,-0.63,0.18,-0.97,-0.12,0.49,0.06,-0.53
2017-11-16,1.99,2.58,1.67,0.73,1.42,2.19,1.83,0.37,2.14,2.01,1.32,1.82
2017-11-17,1.08,0.78,0.46,2.31,0.08,0.45,1.36,-0.39,1.68,0.59,0.15,0.47
2017-11-20,0.45,0.83,0.84,-0.85,0.94,0.93,0.67,-0.29,0.69,-0.01,0.88,1.08
2017-11-21,0.1,0.05,0.93,-0.74,0.78,1.11,0.12,0.37,-0.13,0.76,0.35,0.79
2017-11-22,-0.28,-0.01,0.19,1.32,-0.09,0.12,0.44,0.0,0.3,0.87,-0.36,0.07
2017-11-24,0.16,0.42,0.17,0.34,0.6,0.82,0.69,-0.08,-0.04,0.96,0.31,0.27
2017-11-27,0.2,-0.27,-0.37,-1.9,-0.38,-0.06,0.32,0.3,-0.11,-0.88,0.06,-0.42
2017-11-28,1.31,1.98,1.84,0.11,1.27,0.67,0.95,0.78,2.27,0.05,1.6,1.09
2017-11-29,0.89,-0.25,0.04,0.59,-0.26,-1.74,1.19,0.54,1.76,-0.12,1.66,0.49
2017-11-30,0.12,0.16,0.3,1.79,0.16,0.41,-0.23,0.5,0.11,0.93,-0.59,0.22
2017-12-01,-0.13,-0.72,-0.84,2.77,-0.9,-0.69,0.15,-0.34,-0.45,0.13,-0.05,-0.34
2017-12-04,0.64,-0.18,0.45,-1.21,-0.33,-1.53,0.32,-0.44,1.84,-1.66,0.51,-0.03
2017-12-05,-0.66,-0.85,-0.7,-0.74,-0.05,-0.15,-1.43,-1.41,-0.55,-0.47,-0.86,-0.72
2017-12-06,0.19,-1.01,-0.37,-3.17,-1.4,-0.28,-1.99,-0.11,-0.79,-1.1,-0.51,-0.59
2017-12-07,0.04,0.21,0.55,0.86,0.19,0.97,0.31,0.25,0.4,1.55,0.62,0.46
2017-12-08,0.09,0.13,-0.11,0.63,0.05,0.07,0.4,0.22,0.59,1.13,-0.25,0.34
2017-12-11,-0.47,-0.19,-0.17,1.26,0.02,0.34,1.27,0.23,0.35,-0.54,-0.32,-0.26
2017-12-12,-0.32,0.0,-0.26,-0.35,0.05,-0.16,-0.24,-1.67,-0.6,-0.48,0.42,-0.28
2017-12-13,0.45,-0.18,0.66,-1.11,0.38,0.7,0.34,0.28,0.89,1.14,-0.12,0.28
2017-12-14,-0.51,-1.53,-0.89,-0.9,-0.96,-0.08,-0.11,-0.73,-1.18,-1.05,-0.64,-0.95
2017-12-15,0.9,1.29,1.23,-0.26,0.9,1.09,1.13,0.79,1.27,0.66,1.61,1.28
2017-12-18,1.47,1.2,1.6,2.28,1.19,1.49,2.74,-0.51,1.36,0.36,0.84,1.3
2017-12-19,0.25,-0.26,-0.2,0.17,0.17,-0.21,-0.75,-1.69,-0.16,-0.57,-0.79,-0.62
2017-12-20,0.56,0.51,0.7,2.1,0.24,0.63,0.72,-0.39,0.49,0.46,-0.09,0.49
2017-12-21,1.64,0.59,0.6,3.06,0.33,0.29,0.88,-0.67,0.42,0.6,0.53,0.58
2017-12-22,0.05,-0.37,-0.2,0.0,-0.3,-0.73,-0.2,0.3,-0.17,0.66,-0.52,0.31
2017-12-26,0.11,-0.53,0.45,2.25,0.33,-0.43,2.24,-0.35,0.99,0.51,-0.29,0.13
2017-12-27,-0.43,-0.17,0.14,-0.67,-0.08,0.53,-0.72,0.49,-0.36,0.51,-0.24,0.35
2017-12-28,0.43,-0.02,0.33,0.83,0.38,0.19,-0.58,0.95,0.06,0.45,0.38,0.03
2017-12-29,-0.32,0.56,-0.48,-0.5,-0.25,-0.72,-0.48,-0.3,-0.65,-0.89,-0.68,-0.36
2018-01-02,0.76,0.62,1.07,2.76,1.11,1.4,1.05,-0.44,1.4,2.84,-0.01,1.05
2018-01-03,-0.41,0.57,0.32,2.53,0.11,0.97,-0.24,-0.42,0.2,0.91,0.3,0.37
2018-01-04,0.26,0.93,0.71,0.85,0.8,0.75,0.16,-0.49,-0.17,0.61,0.46,2.0
2018-01-05,0.19,1.12,0.46,-0.39,0.91,0.94,-0.11,-0.38,0.05,0.48,0.46,0.25
2018-01-08,0.22,0.07,0.36,0.4,-0.19,0.36,0.2,0.88,0.16,-0.94,-0.22,0.38
2018-01-09,-0.18,-0.88,-0.63,0.01,-0.45,-0.48,-0.81,-1.09,-0.59,0.73,0.33,-0.63
2018-01-10,-0.31,-0.45,-0.24,-0.26,0.05,0.19,0.24,-1.44,0.18,0.42,0.82,0.01
2018-01-11,0.93,1.47,1.76,3.08,1.87,1.59,1.53,0.31,2.03,1.34,1.45,1.97
2018-01-12,-0.07,1.1,0.31,0.86,0.05,0.53,0.83,-0.51,0.74,-0.12,0.34,0.52
2018-01-16,-0.6,-1.36,-1.07,-2.44,-0.91,-1.02,-1.32,-0.48,-0.96,-1.74,-0.73,-1.25
2018-01-17,0.74,0.33,0.7,0.9,0.02,0.67,0.18,0.93,0.29,0.57,0.66,0.54
2018-01-18,-0.07,-0.84,-0.72,-1.28,-0.92,-0.21,-0.2,-0.98,-0.16,-0.06,-0.52,-0.29
2018-01-19,2.47,1.36,1.06,0.14,0.98,0.69,0.73,0.35,1.49,1.1,1.0,0.98
2018-01-22,-0.01,0.04,-0.12,1.66,-0.12,-0.09,1.13,0.36,0.44,1.84,-0.03,0.39
2018-01-23,0.43,-0.25,0.17,0.61,-0.09,0.25,-1.05,0.81,-0.14,0.64,0.19,0.42
2018-01-24,-0.72,0.2,-0.22,-0.68,-0.25,-0.81,0.07,-0.39,-0.38,-0.49,-0.49,-0.2
2018-01-25,0.16,-0.6,0.18,-1.51,0.37,0.02,-0.03,0.77,-0.01,0.82,-0.12,-0.11
2018-01-26,0.42,0.81,0.31,-0.18,-0.1,0.91,0.91,-0.4,0.45,0.72,0.17,0.48
2018-01-29,-0.65,-0.97,-0.78,-2.12,-1.04,-0.78,-0.8,-1.27,-0.82,0.02,-0.58,-1.24
2018-01-30,-0.74,-1.5,-1.0,-2.52,-1.08,-0.97,-0.6,-0.37,-1.28,-1.58,-0.46,-1.14
2018-01-31,-0.25,-0.96,-0.97,-0.51,-0.48,-0.28,-0.62,0.45,-1.1,-1.19,-0.35,-0.34
2018-02-01,-0.33,0.15,-0.31,1.01,-0.5,0.05,-0.12,-1.1,-0.26,-0.23,0.68,0.1
2018-02-02,-1.74,-2.18,-2.56,-4.1,-2.69,-1.98,-1.84,-1.16,-2.52,-2.14,-1.32,-2.35
2018-02-05,-3.05,-3.6,-3.64,-2.77,-3.35,-3.33,-3.33,-2.48,-3.18,-3.19,-3.14,-3.21
2018-02-06,0.9,1.59,0.77,1.15,0.51,1.09,0.71,-0.46,1.29,1.25,0.63,0.7
2018-02-07,0.95,0.72,0.11,-2.65,-0.94,0.03,0.0,-0.42,0.25,0.8,0.38,0.04
2018-02-08,-2.12,-2.7,-2.51,-4.12,-2.3,-2.6,-2.42,-1.42,-2.16,-3.05,-2.27,-2.83
2018-02-09,0.84,0.29,0.45,-0.3,0.52,0.58,0.01,2.29,0.96,-0.11,1.04,0.14
2018-02-12,0.63,0.79,0.83,2.37,1.57,1.25,1.49,0.46,0.57,1.41,0.49,0.91
2018-02-13,0.56,-0.19,0.07,-0.57,0.05,0.69,0.78,-0.03,0.32,0.55,0.36,0.78
2018-02-14,1.32,1.47,1.97,2.81,1.43,1.88,1.05,-0.56,1.41,1.31,1.45,1.39
2018-02-15,0.74,0.17,0.75,-0.03,1.39,1.41,1.43,1.87,1.25,0.67,0.55,0.39
2018-02-16,-0.03,-0.08,0.54,-0.49,-0.1,-0.05,0.11,0.54,0.1,-0.04,0.53,0.45
2018-02-20,-1.27,-0.63,-0.96,-0.55,-0.03,-0.03,-0.53,-1.34,-1.46,-0.87,-0.94,-1.07
2018-02-21,-0.2,0.71,0.28,-1.49,-0.11,0.15,-0.94,-1.05,0.17,0.35,0.59,0.05
2018-02-22,-0.41,-0.45,0.14,1.95,0.58,-0.27,-1.21,0.76,-0.4,-0.28,-0.81,-0.25
2018-02-23,1.05,0.9,0.95,2.17,1.22,1.16,2.01,2.26,1.14,1.11,0.96,0.89
2018-02-26,0.38,0.64,0.65,0.29,0.37,0.91,1.43,-0.37,0.4,0.97,0.57,0.82
