Date,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth ,Money,Other,BTC Returns,ETH Returns,XRP Returns
2017-11-09,0.29,-0.18,0.0,0.65,-0.96,-0.99,0.27,-0.1,0.76,0.63,-0.26,0.15,,,
2017-11-10,1.09,0.41,0.25,-0.41,-0.1,0.34,-0.29,-0.62,0.54,0.37,0.01,0.15,-7.35541473126685,-6.7410689787761395,-5.06004882506258
2017-11-13,0.27,0.53,-0.36,-0.82,0.54,-0.07,-0.84,0.47,-0.28,-0.44,0.45,-0.5,-3.9367561532426896,5.15550704971954,1.9115324994732001
2017-11-14,0.53,-0.27,-0.56,-3.35,-0.72,-0.07,-0.78,1.16,0.16,-1.23,0.29,-0.58,-6.41012751946662,-2.15234166001792,-6.2210702692122695
2017-11-15,-0.4,-0.83,-0.61,-1.31,-1.32,-0.63,0.18,-0.97,-0.12,0.49,0.06,-0.53,10.24223964020905,2.86059934016742,3.09265225705335
2017-11-16,1.99,2.58,1.67,0.73,1.42,2.19,1.83,0.37,2.14,2.01,1.32,1.82,1.16258676970599,6.603710680612621,3.1374970134248197
2017-11-17,1.08,0.78,0.46,2.31,0.08,0.45,1.36,-0.39,1.68,0.59,0.15,0.47,10.24435879987191,-1.26588411092228,1.49219696136324
2017-11-20,0.45,0.83,0.84,-0.85,0.94,0.93,0.67,-0.29,0.69,-0.01,0.88,1.08,7.60230822843013,-0.72984321242334,6.64503802505522
2017-11-21,0.1,0.05,0.93,-0.74,0.78,1.11,0.12,0.37,-0.13,0.76,0.35,0.79,-2.06689679398353,0.44421110914171996,-0.23160716370099
2017-11-22,-0.28,-0.01,0.19,1.32,-0.09,0.12,0.44,0.0,0.3,0.87,-0.36,0.07,1.05279246050737,4.57829758975647,0.90298346779482
2017-11-24,0.16,0.42,0.17,0.34,0.6,0.82,0.69,-0.08,-0.04,0.96,0.31,0.27,3.16220271906624,1.9487206500125,1.04493297159375
2017-11-27,0.2,-0.27,-0.37,-1.9,-0.38,-0.06,0.32,0.3,-0.11,-0.88,0.06,-0.42,2.04255103005503,3.4832146683062697,3.35171639493496
2017-11-28,1.31,1.98,1.84,0.11,1.27,0.67,0.95,0.78,2.27,0.05,1.6,1.09,-1.57768038054386,-1.7257954953682701,-2.29854935250262
2017-11-29,0.89,-0.25,0.04,0.59,-0.26,-1.74,1.19,0.54,1.76,-0.12,1.66,0.49,2.25850789537045,5.61902076442764,2.39549493335866
2017-11-30,0.12,0.16,0.3,1.79,0.16,0.41,-0.23,0.5,0.11,0.93,-0.59,0.22,-2.60227163146539,7.75353247220742,1.48330371720839
2017-12-01,-0.13,-0.72,-0.84,2.77,-0.9,-0.69,0.15,-0.34,-0.45,0.13,-0.05,-0.34,2.67354843631641,15.785079208313421,0.9240856654779601
2017-12-04,0.64,-0.18,0.45,-1.21,-0.33,-1.53,0.32,-0.44,1.84,-1.66,0.51,-0.03,6.50896101282345,-1.8182374319202,3.1683042033977302
2017-12-05,-0.66,-0.85,-0.7,-0.74,-0.05,-0.15,-1.43,-1.41,-0.55,-0.47,-0.86,-0.72,6.13849162099298,1.08390429383415,-1.41644656734803
2017-12-06,0.19,-1.01,-0.37,-3.17,-1.4,-0.28,-1.99,-0.11,-0.79,-1.1,-0.51,-0.59,5.227985648203029,1.9147995398503599,2.05330696513625
2017-12-07,0.04,0.21,0.55,0.86,0.19,0.97,0.31,0.25,0.4,1.55,0.62,0.46,2.44898791425096,-1.55156139922096,17.81023513516306
2017-12-08,0.09,0.13,-0.11,0.63,0.05,0.07,0.4,0.22,0.59,1.13,-0.25,0.34,-1.6919459222728501,-9.59585644163709,-18.74899318829931
2017-12-11,-0.47,-0.19,-0.17,1.26,0.02,0.34,1.27,0.23,0.35,-0.54,-0.32,-0.26,3.4887536827456103,4.582444207233101,3.21479321438797
2017-12-12,-0.32,0.0,-0.26,-0.35,0.05,-0.16,-0.24,-1.67,-0.6,-0.48,0.42,-0.28,7.25062566763168,4.34475196013495,1.92165210335053
